S. No.,tracking_id,cluster,lat,lng
5144,UID1000196246,5,13.0022,77.5528
5145,UID1000196273,5,13.0258,77.5556
5146,UID1000196274,5,13.0231,77.5561
5147,UID1000196275,5,13.0257,77.5545
5148,UID1000196276,5,13.0268,77.5544
5149,UID1000196277,5,13.0277,77.5544
5150,UID1000196279,5,13.0297,77.5536
5151,UID1000196280,5,13.03,77.5536
5152,UID1000196281,5,13.0313,77.5537
5153,UID1000196282,5,13.0307,77.5524
5154,UID1000196283,5,13.0307,77.5522
5155,UID1000196284,5,13.0278,77.5545
5156,UID1000196285,5,13.0268,77.5556
5157,UID1000196286,5,13.0212,77.5579
5158,UID1000196287,5,13.02,77.5609
5159,UID1000196288,5,13.023,77.5569
5160,UID1000196331,5,12.9998,77.5638
5161,UID1000196332,5,13.0007,77.5632
5162,UID1000196333,5,12.9995,77.5624
5163,UID1000196334,5,13.0003,77.5622
5164,UID1000196335,5,12.999,77.5623
5165,UID1000196336,5,12.9979,77.5641
5166,UID1000196337,5,12.9985,77.5615
5167,UID1000196338,5,12.998,77.5609
5168,UID1000196339,5,12.9975,77.5586
5169,UID1000196340,5,12.9966,77.5587
5170,UID1000196341,5,12.9964,77.5588
5171,UID1000196342,5,12.9948,77.5588
5172,UID1000196371,5,12.9904,77.5278
5173,UID1000196384,5,12.9797,77.5585
5174,UID1000196385,5,12.9797,77.5585
5175,UID1000196386,5,12.9801,77.5585
5176,UID1000196387,5,12.975,77.5534
5177,UID1000196388,5,12.9792,77.5577
5178,UID1000196389,5,12.9805,77.5583
5179,UID1000196390,5,12.979,77.5547
5180,UID1000196391,5,12.9781,77.5536
5181,UID1000196392,5,12.9734,77.5532
5182,UID1000196393,5,12.9719,77.5496
5183,UID1000196414,5,12.9819,77.555
5184,UID1000196415,5,12.9824,77.557
5185,UID1000196416,5,12.9913,77.5582
5186,UID1000196417,5,12.9914,77.5588
5187,UID1000196418,5,12.9913,77.559
5188,UID1000196447,5,12.9911,77.5597
5189,UID1000196448,5,12.9978,77.575
5190,UID1000196449,5,12.998,77.5749
5191,UID1000196450,5,12.9982,77.575
5192,UID1000196452,5,13.0044,77.5779
5193,UID1000196453,5,13.0055,77.5769
5194,UID1000196454,5,13.0035,77.5755
5195,UID1000196455,5,13.0034,77.5756
5196,UID1000196456,5,13.0041,77.5722
5197,UID1000196457,5,13.0199,77.5426
5198,UID1000196458,5,13.0194,77.5419
5199,UID1000196459,5,13.017,77.5409
5200,UID1000196460,5,13.016,77.5405
5201,UID1000196461,5,13.0158,77.5404
5202,UID1000196462,5,13.0162,77.5391
5203,UID1000196463,5,13.0158,77.5388
5204,UID1000196464,5,13.0144,77.5397
5205,UID1000196465,5,13.0173,77.5414
5206,UID1000196466,5,13.0166,77.5412
5207,UID1000196497,5,12.9937,77.5648
5208,UID1000196498,5,12.9939,77.5527
5209,UID1000196499,5,13.0069,77.5728
5210,UID1000196500,5,13.0028,77.5755
5211,UID1000196501,5,13.0028,77.5744
5212,UID1000196502,5,13.0037,77.5653
5213,UID1000196503,5,13.0034,77.5654
5214,UID1000196504,5,13.004,77.5652
5215,UID1000196505,5,13.0074,77.5669
5216,UID1000196506,5,13.008,77.5712
5217,UID1000196507,5,13.0028,77.5793
5218,UID1000196508,5,13.0027,77.5794
5219,UID1000196509,5,13.0245,77.5613
5220,UID1000196510,5,13.0264,77.5601
5221,UID1000196511,5,13.027,77.5568
5222,UID1000196523,5,13.0245,77.538
5223,UID1000196524,5,13.0243,77.5376
5224,UID1000196525,5,13.0253,77.5376
5225,UID1000196527,5,13.0257,77.5373
5226,UID1000196528,5,13.0262,77.5366
5227,UID1000196529,5,13.0265,77.5368
5228,UID1000196530,5,13.0272,77.5367
5229,UID1000196531,5,13.0279,77.5368
5230,UID1000196532,5,13.0276,77.5364
5231,UID1000196550,5,13.0155,77.5402
5232,UID1000196551,5,13.0161,77.5412
5233,UID1000196553,5,13.0175,77.5408
5234,UID1000196554,5,13.0164,77.5411
5235,UID1000196555,5,13.0283,77.5604
5236,UID1000196556,5,13.0287,77.5598
5237,UID1000196557,5,13.0331,77.5615
5238,UID1000196558,5,13.0333,77.5616
5239,UID1000196559,5,13.0352,77.5618
5240,UID1000196560,5,13.0377,77.5617
5241,UID1000196561,5,13.0378,77.5616
5242,UID1000196562,5,13.0316,77.551
